Code,Company,Sector
A2M,The A2 Milk Company Limited NZ,"Food, Beverage & Tobacco"
AAC,Australian Agricultural Company Limited,"Food, Beverage & Tobacco"
AAD,Ardent Leisure Group Stapled,Consumer Services
ABC,Adelaide Brighton Limited,Materials
ABP,Abacus Property Group Stapled,Real Estate
ABP,Abacus Property Group Stapled,Real Estate
ACR,ACRUX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
ACX,Aconex Limited,Software & Services
AGI,AINSWORTH GAME TECHNOLOGY LIMITED,Consumer Services
AGK,NULL,NULL
AGL,AGL Energy Limited,Utilities
AGO,ATLAS IRON LIMITED,Materials
AHE,NULL,NULL
AHG,Automotive Holdings Group Limited,Retailing
AHY,Asaleo Care Limited,Household & Personal Products
AIO,Asciano Limited,Industrials
AIX,NULL,NULL
ALL,Aristocrat Leisure Limited,Consumer Services
ALQ,Als Limited,Commercial & Professional Services
ALU,Altium Limited,Software & Services
ALZ,NULL,NULL
AMC,Amcor Limited,Materials
AMP,AMP Limited,Insurance
ANN,Ansell Limited,Health Care Equipment & Services
ANZ,Australia And New Zealand Banking Group Limited,Banks
AOG,Aveo Group Stapled,Real Estate
AOG,Aveo Group Stapled,Real Estate
APA,APA Group Stapled,Utilities
API,Australian Pharmaceutical Industries Limited,Health Care Equipment & Services
APN,APN News & Media Limited,Consumer Discretionary
APO,Apn Outdoor Group Limited,Media
AQA,NULL,NULL
AQG,ALACER GOLD CORP.,Materials
AQP,NULL,NULL
ARB,ARB Corporation Limited,Automobiles & Components
ARB,ARB Corporation Limited,Automobiles & Components
ARI,Arrium Limited,Materials
ARP,NULL,NULL
ASB,Austal Limited,Capital Goods
ASL,AUSDRILL LIMITED,Materials
AST,Ausnet Services Limited,Utilities
ASX,ASX Limited,Diversified Financials
AUN,NULL,NULL
AUT,NULL,NULL
AWC,Alumina Limited,Materials
AWE,AWE Limited,Energy
AZJ,Aurizon Holdings Limited,Transportation
AZT,NULL,NULL
BAL,Bellamy's Australia Limited,"Food, Beverage & Tobacco"
BAP,Bapcor Limited,Retailing
BAP,Burson Group Limited,Retailing
BBG,BILLABONG INTERNATIONAL LIMITED,Consumer Durables & Apparel
BCI,BC IRON LIMITED,Materials
BDR,BEADELL RESOURCES LIMITED,Materials
BEN,Bendigo And Adelaide Bank Limited,Banks
BGA,Bega Cheese Limited,"Food, Beverage & Tobacco"
BHP,BHP Billiton Limited,Materials
BKL,Blackmores Limited,Household & Personal Products
BKN,NULL,NULL
BKW,Brickworks Limited,Materials
BLD,Boral Limited,Materials
BLY,BOART LONGYEAR LIMITED,Capital Goods
BOQ,Bank of Queensland Limited,Banks
BPT,Beach Energy Limited,Energy
BRG,Breville Group Limited,Retailing
BRS,Broadspectrum Limited,Industrials
BRU,BURU ENERGY LIMITED,Energy
BSL,Bluescope Steel Limited,Materials
BSLDA,NULL,NULL
BTT,BT Investment Management Limited,Diversified Financials
BTU,NULL,NULL
BWP,BWP Trust Ord Units,Real Estate
BWP,BWP Trust Ord Units,Real Estate
BXB,Brambles Limited,Commercial & Professional Services
CAB,Cabcharge Australia Limited,Commercial & Professional Services
CAR,Carsales.com Limited,Software & Services
CBA,Commonwealth Bank of Australia,Banks
CCL,Coca-cola Amatil Limited,"Food, Beverage & Tobacco"
CCP,Credit Corp Group Limited,Diversified Financials
CCP,Credit Corp Group Limited,Diversified Financials
CDD,Cardno Limited,Capital Goods
CDU,CUDECO LIMITED,Materials
CFX,NULL,NULL
CGC,Costa Group Holdings Limited,"Food, Beverage & Tobacco"
CGF,Challenger Limited,Diversified Financials
CHC,Charter Hall Group Forus,Real Estate
CHC,Charter Hall Group Forus,Real Estate
CIM,Cimic Group Limited,Capital Goods
CMW,Cromwell Property Group Stapled,Real Estate
CMW,Cromwell Property Group Stapled,Real Estate
CNU,Chorus Limited NZX,Telecommunication Services
COH,Cochlear Limited,Health Care Equipment & Services
CPA,NULL,NULL
CPB,NULL,NULL
CPL,NULL,NULL
CPU,Computershare Limited,Software & Services
CQO,NULL,NULL
CQR,Charter Hall Retail Reit Unit,Real Estate
CQR,Charter Hall Retail Reit Unit,Real Estate
CRF,NULL,NULL
CRZ,NULL,NULL
CSL,CSL Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
CSR,CSR Limited,Materials
CTD,Corporate Travel Management Limited,Consumer Services
CTX,Caltex Australia Limited,Energy
CVO,Cover-more Group Limited,Financials
CWN,Crown Resorts Limited,Consumer Services
CWY,Cleanaway Waste Management Limited,Commercial & Professional Services
CWY,Cleanaway Waste Management Limited,Commercial & Professional Services
CYB,CYBG PLC Cdi 1:1,Banks
CYB,CYBG PLC Def Set,Banks
DCG,DECMIL GROUP LIMITED,Capital Goods
DJS,NULL,NULL
DLS,Drillsearch Energy Limited,Energy
DLX,Duluxgroup Limited,Materials
DML,NULL,NULL
DMP,Domino's Pizza Enterprises Limited,Consumer Services
DOW,Downer Edi Limited,Commercial & Professional Services
DSH,Dick Smith Holdings Limited,Consumer Discretionary
DTE,NULL,NULL
DUE,Duet Group Forus,Utilities
DXS,Dexus Property Group Stapled,Real Estate
DXS,Dexus Property Group Stapled,Real Estate
DXS,Dexus Stapled,Real Estate
DXSDA,NULL,NULL
ECX,Eclipx Group Limited,Diversified Financials
EGP,Echo Entertainment Group Limited,Consumer Discretionary
EHE,Estia Health Limited,Health Care Equipment & Services
EHL,EMECO HOLDINGS LIMITED,Capital Goods
ENV,NULL,NULL
ERA,ENERGY RESOURCES OF AUSTRALIA LIMITED,Energy
EVN,Evolution Mining Limited,Materials
EWC,ENERGY WORLD CORPORATION LTD,Utilities
EXT,NULL,NULL
FBU,Fletcher Building Limited NZ,Materials
FBU,Fletcher Building Limited NZX,Materials
FDC,NULL,NULL
FDCDA,NULL,NULL
FGE,NULL,NULL
FKP,NULL,NULL
FKPDA,NULL,NULL
FLT,Flight Centre Travel Group Limited,Consumer Services
FMG,Fortescue Metals Group LTD,Materials
FOX,NULL,NULL
FPH,Fisher & Paykel Healthcare Corporation Limited NZ,Health Care Equipment & Services
FPH,Fisher & Paykel Healthcare Corporation Limited NZX,Health Care Equipment & Services
FWD,FLEETWOOD CORPORATION LIMITED,Consumer Durables & Apparel
FXJ,Fairfax Media Limited,Media
FXL,Flexigroup Limited,Diversified Financials
GBG,GINDALBIE METALS LTD,Materials
GCL,NULL,NULL
GEM,G8 Education Limited,Consumer Services
GFF,NULL,NULL
GMA,Genworth Mortgage Insurance Australia Limited,Banks
GMG,Goodman Group Stapled,Real Estate
GMG,Goodman Group Stapled,Real Estate
GMGDA,NULL,NULL
GNC,Graincorp Limited,"Food, Beverage & Tobacco"
GOZ,Growthpoint Properties Australia Stapled,Real Estate
GOZ,Growthpoint Properties Australia Stapled,Real Estate
GPT,GPT Group Stapled,Real Estate
GPT,GPT Group Stapled,Real Estate
GRY,NULL,NULL
GTY,Gateway Lifestyle Group Stapled,Real Estate
GTY,Gateway Lifestyle Group Stapled,Real Estate
GUD,G.u.d. Holdings Limited,Consumer Durables & Apparel
GWA,GWA Group Limited,Capital Goods
GXL,Greencross Limited,Retailing
GXL,Greencross Limited,Retailing
GXY,Galaxy Resources Limited,Materials
HDF,NULL,NULL
HGG,Henderson Group PLC Cdi 1:1,Financials
HSO,Healthscope Limited,Health Care Equipment & Services
HT1,Ht&e Limited,Media
HVN,Harvey Norman Holdings Limited,Retailing
HZN,HORIZON OIL LIMITED,Energy
IAG,Insurance Australia Group Limited,Insurance
IAU,INTREPID MINES LIMITED,Materials
IDL,NULL,NULL
IFL,Ioof Holdings Limited,Diversified Financials
IFN,Infigen Energy Stapled,Utilities
IGO,Independence Group NL,Materials
IGR,NULL,NULL
IIN,NULL,NULL
ILU,Iluka Resources Limited,Materials
IMD,IMDEX LIMITED,Materials
INM,Iron Mountain Incorporated Cdi 1:1,Real Estate
INM,Iron Mountain Incorporated Cdi 1:1,Real Estate
IOF,Investa Office Fund Stapled,Real Estate
IOF,Investa Office Fund Stapled,Real Estate
IOFDA,NULL,NULL
IPH,IPH Limited,Commercial & Professional Services
IPH,IPH Limited,Commercial & Professional Services
IPL,Incitec Pivot Limited,Materials
IRE,Iress Limited,Diversified Financials
IRE,Iress Limited,Diversified Financials
ISD,Isentia Group Limited,Software & Services
